Start Time,End Time,Category,Timestamp,Heart Rate,Source Name
15/09/22 2:49,15/09/22 3:17,Light/Core,15/09/22 2:50,59,Apple Watch SE 2020
15/09/22 3:17,15/09/22 3:29,Deep,15/09/22 3:19,60,Apple Watch SE 2020
15/09/22 3:29,15/09/22 4:06,Light/Core,15/09/22 3:28,74.5631,Apple Watch SE 2020
15/09/22 4:06,15/09/22 4:07,Awake,15/09/22 4:04,55,Apple Watch SE 2020
15/09/22 4:07,15/09/22 4:13,Light/Core,15/09/22 4:04,55,Apple Watch SE 2020
15/09/22 4:13,15/09/22 4:34,REM,15/09/22 4:14,59,Apple Watch SE 2020
15/09/22 4:34,15/09/22 4:35,Awake,15/09/22 4:32,57,Apple Watch SE 2020
15/09/22 4:35,15/09/22 4:39,Light/Core,15/09/22 4:36,53,Apple Watch SE 2020
15/09/22 4:39,15/09/22 4:43,Awake,15/09/22 4:36,53,Apple Watch SE 2020
15/09/22 4:43,15/09/22 5:35,Light/Core,15/09/22 4:42,60,Apple Watch SE 2020
15/09/22 5:35,15/09/22 5:48,REM,15/09/22 5:38,55,Apple Watch SE 2020
15/09/22 5:48,15/09/22 5:49,Awake,15/09/22 5:50,56,Apple Watch SE 2020
15/09/22 5:49,15/09/22 6:20,REM,15/09/22 5:50,56,Apple Watch SE 2020
15/09/22 6:20,15/09/22 6:54,Light/Core,15/09/22 6:21,58,Apple Watch SE 2020
15/09/22 23:55,16/09/22 0:01,Light/Core,15/09/22 23:55,76,Apple Watch SE 2020
16/09/22 0:01,16/09/22 0:04,Awake,16/09/22 0:03,64,Apple Watch SE 2020
16/09/22 0:04,16/09/22 0:10,Light/Core,16/09/22 0:04,62,Apple Watch SE 2020
16/09/22 0:10,16/09/22 0:14,Awake,16/09/22 0:10,62,Apple Watch SE 2020
16/09/22 0:14,16/09/22 0:34,Light/Core,16/09/22 0:18,68,Apple Watch SE 2020
16/09/22 0:34,16/09/22 0:43,Deep,16/09/22 0:34,73,Apple Watch SE 2020
16/09/22 0:43,16/09/22 0:44,Light/Core,16/09/22 0:44,64,Apple Watch SE 2020
16/09/22 0:44,16/09/22 0:44,Awake,16/09/22 0:44,64,Apple Watch SE 2020
16/09/22 0:44,16/09/22 1:02,Light/Core,16/09/22 0:44,64,Apple Watch SE 2020
16/09/22 1:02,16/09/22 1:28,REM,16/09/22 1:00,63,Apple Watch SE 2020
16/09/22 1:28,16/09/22 2:09,Light/Core,16/09/22 1:29,57.4208,Apple Watch SE 2020
16/09/22 2:09,16/09/22 2:12,Deep,16/09/22 2:10,61,Apple Watch SE 2020
16/09/22 2:12,16/09/22 2:56,Light/Core,16/09/22 2:14,58,Apple Watch SE 2020
16/09/22 2:56,16/09/22 3:04,Deep,16/09/22 2:57,63,Apple Watch SE 2020
16/09/22 3:04,16/09/22 3:06,Light/Core,16/09/22 3:04,62,Apple Watch SE 2020
16/09/22 3:06,16/09/22 3:07,Awake,16/09/22 3:04,62,Apple Watch SE 2020
16/09/22 3:07,16/09/22 3:18,Light/Core,16/09/22 3:04,62,Apple Watch SE 2020
16/09/22 3:18,16/09/22 3:34,REM,16/09/22 3:17,52,Apple Watch SE 2020
16/09/22 3:34,16/09/22 3:43,Light/Core,16/09/22 3:35,59,Apple Watch SE 2020
16/09/22 3:43,16/09/22 3:46,Awake,16/09/22 3:45,52,Apple Watch SE 2020
16/09/22 3:46,16/09/22 3:47,Light/Core,16/09/22 3:45,52,Apple Watch SE 2020
16/09/22 3:47,16/09/22 3:48,Awake,16/09/22 3:45,52,Apple Watch SE 2020
16/09/22 3:48,16/09/22 3:50,Light/Core,16/09/22 3:50,57,Apple Watch SE 2020
16/09/22 3:50,16/09/22 3:52,Awake,16/09/22 3:50,57,Apple Watch SE 2020
16/09/22 3:52,16/09/22 4:06,Light/Core,16/09/22 3:50,57,Apple Watch SE 2020
16/09/22 4:06,16/09/22 4:07,Awake,16/09/22 4:05,58,Apple Watch SE 2020
16/09/22 4:07,16/09/22 5:15,Light/Core,16/09/22 4:05,58,Apple Watch SE 2020
16/09/22 5:15,16/09/22 5:45,REM,16/09/22 5:14,57,Apple Watch SE 2020
16/09/22 5:45,16/09/22 5:46,Awake,16/09/22 5:44,62,Apple Watch SE 2020
16/09/22 5:46,16/09/22 6:41,Light/Core,16/09/22 5:44,62,Apple Watch SE 2020
16/09/22 6:41,16/09/22 6:42,REM,16/09/22 6:43,56,Apple Watch SE 2020
16/09/22 6:42,16/09/22 6:43,Light/Core,16/09/22 6:43,56,Apple Watch SE 2020
16/09/22 6:43,16/09/22 6:49,REM,16/09/22 6:43,56,Apple Watch SE 2020
16/09/22 6:49,16/09/22 6:49,Awake,16/09/22 6:51,60,Apple Watch SE 2020
16/09/22 6:49,16/09/22 6:51,Light/Core,16/09/22 6:51,60,Apple Watch SE 2020
16/09/22 6:51,16/09/22 6:53,REM,16/09/22 6:51,60,Apple Watch SE 2020
16/09/22 6:53,16/09/22 6:54,Light/Core,16/09/22 6:54,61,Apple Watch SE 2020
16/09/22 6:54,16/09/22 7:00,REM,16/09/22 6:54,61,Apple Watch SE 2020
16/09/22 23:21,16/09/22 23:39,Light/Core,16/09/22 23:20,66,Apple Watch SE 2020
16/09/22 23:39,16/09/22 23:45,Deep,16/09/22 23:39,60,Apple Watch SE 2020
16/09/22 23:45,16/09/22 23:48,Light/Core,16/09/22 23:44,66,Apple Watch SE 2020
16/09/22 23:48,16/09/22 23:56,Deep,16/09/22 23:50,68,Apple Watch SE 2020
16/09/22 23:56,17/09/22 0:06,Light/Core,16/09/22 23:57,61,Apple Watch SE 2020
17/09/22 0:06,17/09/22 0:31,Deep,17/09/22 0:06,66,Apple Watch SE 2020
17/09/22 0:31,17/09/22 1:15,Light/Core,17/09/22 0:29,61,Apple Watch SE 2020
17/09/22 1:15,17/09/22 1:18,Deep,17/09/22 1:14,62,Apple Watch SE 2020
17/09/22 1:18,17/09/22 1:27,Light/Core,17/09/22 1:19,58,Apple Watch SE 2020
17/09/22 1:27,17/09/22 1:30,Deep,17/09/22 1:28,61.3176,Apple Watch SE 2020
17/09/22 1:30,17/09/22 1:35,Light/Core,17/09/22 1:28,61.3176,Apple Watch SE 2020
17/09/22 1:35,17/09/22 1:52,Deep,17/09/22 1:36,60,Apple Watch SE 2020
17/09/22 1:52,17/09/22 1:53,Light/Core,17/09/22 1:49,59,Apple Watch SE 2020
17/09/22 1:53,17/09/22 1:53,Awake,17/09/22 1:49,59,Apple Watch SE 2020
17/09/22 1:53,17/09/22 2:03,Light/Core,17/09/22 1:49,59,Apple Watch SE 2020
17/09/22 2:03,17/09/22 2:40,REM,17/09/22 2:03,57,Apple Watch SE 2020
17/09/22 2:40,17/09/22 3:31,Light/Core,17/09/22 2:41,59,Apple Watch SE 2020
17/09/22 3:31,17/09/22 3:55,Deep,17/09/22 3:31,63,Apple Watch SE 2020
17/09/22 3:55,17/09/22 4:02,Light/Core,17/09/22 3:57,60,Apple Watch SE 2020
